Organisation,Area,Con,Lab,SNP,LD,PC,Grn,UKIP,Others,Majority
Organisation,Area,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Majority
Election Forecast[5],GB,371,199,50,7,2,1,1,1,Con 92
Election Calculus[6],UK,361[h],215,45,4,1,0,0,18,Con 72
Lord Ashcroft[7],UK,357,222,45,4,1,0,0,19,Con 64
Elections Etc.[8],GB,360,210,48,9,3,1,0,–,Con 70
New Statesman[9],GB,339,224,57,8,–,–,–,–,Con 28
YouGov[10],UK,302,269,44,12,2,1,0,20,Hung (Con –24)
Britain Elects[11],UK,353,219,46,9,3,1,0,19,Con 56
Scenari Politici.com[12],UK,365,208,49,6,3,1,0,18,Con 84
Forecast UK[13],UK,344–351,221–230,44–52,5–7,2–4,0–2,0,19,Con 46
Spreadex[14],GB,365–371,198–204,45.5–47.5,10.5–12.5,–,0.8–1.4,0.1–0.5,–,Con 82
