Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,LD,UKIP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Others,Lead
30 Sep – 1 Oct,YouGov/The Sun,1914,31%,41%,8%,12%,2%,5%,10
29–30 Sep,YouGov/The Sun,1717,33%,39%,11%,13%,2%,3%,6
27–29 Sep,ComRes/Independent,1001,33%,37%,11%,11%,3%,5%,4
27–29 Sep,Populus,2006,36%,39%,11%,7%,3%,4%,3
26–27 Sep,YouGov/Sunday Times,1895,31%,42%,9%,13%,2%,4%,11
25–26 Sep,Populus,2015,34%,37%,12%,9%,2%,6%,3
25–26 Sep,YouGov/The Sun,1840,33%,40%,9%,11%,2%,5%,7
24–25 Sep,YouGov/The Sun,1919,32%,41%,8%,11%,3%,4%,9
23–24 Sep,YouGov/The Sun,1905,34%,39%,10%,10%,3%,4%,5
22–23 Sep,YouGov/The Sun,1763,32%,40%,10%,12%,2%,3%,8
14 Aug – 22 Sep,Populus,14616,33%,38%,12%,9%,3%,5%,5
20–22 Sep,Populus,2036,33%,39%,14%,9%,2%,3%,6
19–20 Sep,YouGov/Sunday Times,1956,33%,37%,11%,11%,3%,5%,4
17–20 Sep,Opinium/The Observer,1929,29%,36%,7%,17%,4%,7%,7
18–19 Sep,Populus,2043,33%,39%,11%,9%,3%,5%,6
18–19 Sep,ComRes/Sunday Mirror/Independent[permanent dead link],2003,28%,36%,10%,17%,4%,5%,8
18–19 Sep,YouGov/The Sun,1878,34%,35%,11%,11%,3%,5%,1
17–18 Sep,YouGov/The Sun,1853,36%,36%,10%,12%,2%,4%,Tie
16–17 Sep,YouGov/The Sun,1792,33%,37%,9%,13%,3%,4%,4
15–16 Sep,YouGov/The Sun,1636,34%,37%,10%,12%,3%,5%,3
12–16 Sep,TNS BMRB Archived 17 March 2016 at the Wayback Machine,1224,29%,39%,9%,14%,2%,7%,10
13–15 Sep,ICM/The Guardian[dead link][dead link][dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][permanent dead link][7],1000,32%,36%,14%,9%,4%,5%,4
13–15 Sep,Populus,2053,33%,40%,11%,9%,2%,5%,7
12–13 Sep,YouGov/Sunday Times,1903,33%,38%,9%,12%,3%,5%,5
11–12 Sep,Populus,2018,34%,41%,10%,7%,3%,5%,7
11–12 Sep,YouGov/The Sun,1819,34%,38%,8%,13%,3%,5%,4
10–11 Sep,YouGov/The Sun,1719,32%,39%,10%,12%,2%,4%,7
9–10 Sep,YouGov/The Sun,1579,33%,39%,9%,11%,3%,5%,6
8–9 Sep,YouGov/The Sun,1615,33%,38%,8%,14%,3%,4%,5
7–9 Sep,Ipsos MORI/Evening Standard,1000,34%,37%,10%,11%,3%,5%,3
6–8 Sep,Populus,2025,34%,37%,13%,9%,2%,5%,3
5–6 Sep,YouGov/Sunday Times,1916,34%,38%,9%,12%,3%,4%,4
3–6 Sep,Opinium/The Observer,1942,30%,35%,7%,17%,4%,7%,5
4–5 Sep,Populus,2036,33%,37%,14%,8%,3%,4%,4
4–5 Sep,YouGov/The Sun,1891,31%,38%,10%,13%,2%,6%,7
3–4 Sep,YouGov/The Sun,1930,33%,39%,10%,12%,2%,5%,6
2–3 Sep,YouGov/The Sun,1978,33%,37%,9%,13%,3%,5%,4
1–2 Sep,YouGov/The Sun,1717,33%,40%,9%,12%,2%,5%,7
29 Aug – 2 Sep,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1230,28%,39%,11%,13%,3%,7%,11
30 Aug – 1 Sep,Lord Ashcroft,1005,30%,35%,11%,14%,4%,6%,5
30 Aug – 1 Sep,ComRes/Independent[permanent dead link],2000,31%,37%,12%,10%,4%,6%,6
30 Aug – 1 Sep,Populus,2020,34%,38%,12%,8%,3%,4%,4
30–31 Aug,YouGov/Sunday Times,1822,31%,41%,9%,13%,2%,4%,10
30 Aug,Survation/Mail on Sunday,1002,29%,37%,11%,17%,2%,5%,8
28–29 Aug,Populus,2041,33%,39%,12%,9%,2%,5%,6
28–29 Aug,YouGov/The Sun,1954,33%,37%,10%,12%,3%,5%,4
27–28 Aug,YouGov/The Sun,1886,34%,37%,11%,12%,2%,5%,3
26–27 Aug,YouGov/The Sun,1991,34%,39%,8%,12%,2%,5%,5
23–26 Aug,Populus,2044,33%,37%,13%,10%,2%,5%,4
