Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,UAP,OTH,UND,ALP,L/NP
15–17 Dec 2023,Freshwater Strategy[189],Online,1109,39%,31%,13%,—N/a,—N/a,16%,—N/a,50%,50%
11–17 Dec 2023,Roy Morgan[190],Online,1109,38%,32%,11.5%,4.5%,—N/a,14%,—N/a,50%,50%
11–15 Dec 2023,Newspoll[191],Online,1219,36%,33%,13%,7%,—N/a,11%,—N/a,52%,48%
6–11 Dec 2023,Essential[53],Online,1102,34%,31%,13%,6%,2%,9%,5%,49%,46%
6–11 Dec 2023,RedBridge Group[192],Online,2010,35%,33%,13%,—N/a,—N/a,19%,—N/a,52.8%,47.2%
1–5 Dec 2023,YouGov[193][194],Online,1555,36%,29%,15%,7%,—N/a,13%,—N/a,51%,49%
29 Nov – 3 Dec 2023,Resolve Strategic[195][196],Online,1605,34%,35%,12%,5%,1%,12%,—N/a,55%,45%
27 Nov – 3 Dec 2023,Roy Morgan[197],—N/a,1730,37.5%,32.5%,12.5%,5%,—N/a,12.5%,—N/a,51%,49%
22–26 Nov 2023,Essential[53],Online,1151,34%,31%,13%,7%,1%,8%,6%,48%,47%
20–26 Nov 2023,Roy Morgan[198],—N/a,1379,35%,32%,13.5%,5%,—N/a,14.5%,—N/a,52.5%,47.5%
20–24 Nov 2023,Newspoll[199],Online,1216,38%,31%,13%,6%,—N/a,12%,—N/a,50%,50%
13–19 Nov 2023,Roy Morgan[200],—N/a,1401,37.5%,29.5%,13.5%,6.5%,—N/a,13%,—N/a,49.5%,50.5%
10–14 Nov 2023,YouGov[201],Online,1582,36%,31%,13%,7%,—N/a,13%,—N/a,51%,49%
8–12 Nov 2023,Essential[53],Online,1150,34%,32%,12%,7%,2%,8%,5%,49%,47%
6–12 Nov 2023,Roy Morgan[202],—N/a,1397,36.5%,30%,13%,6%,—N/a,14.5%,—N/a,50%,50%
1–5 Nov 2023,Resolve Strategic[203],Online,1602,30%,35%,13%,7%,2%,13%,—N/a,57%,43%
30 Oct – 3 Nov 2023,Newspoll[204],Online,1220,37%,35%,12%,6%,—N/a,10%,—N/a,52%,48%
27 Oct – 2 Nov 2023,RedBridge Group[205],Online,1205,35%,34%,14%,—N/a,—N/a,17%,—N/a,53.5%,46.5%
25–29 Oct 2023,Essential[53],Online,1149,34%,32%,10%,7%,3%,9%,6%,48%,46%
23–29 Oct 2023,Roy Morgan[206],—N/a,1375,35%,32.5%,15%,—N/a,—N/a,17.5%,—N/a,53%,47%
16–22 Oct 2023,Roy Morgan[207],—N/a,1383,36%,32%,14%,4.5%,—N/a,13.5%,—N/a,49.5%,50.5%
14 Oct 2023,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated,The 2023 Australian Indigenous Voice referendum is defeated
4–12 Oct 2023,Newspoll[208],Online,2638,35%,36%,12%,6%,—N/a,11%,—N/a,54%,46%
6–10 Oct 2023,YouGov[209],Online,1519,36%,33%,14%,6%,—N/a,11%,—N/a,53%,47%
3–6 Oct 2023,Newspoll[210][211],Online,1225,36%,34%,12%,5%,—N/a,13%,—N/a,53%,47%
22 Sep – 4 Oct 2023,Resolve Strategic[212][213],Online,4728,31%,37%,12%,7%,2%,11%,—N/a,57%,43%
27 Sept – 1 Oct 2023,Essential[53],Online,1125,32%,33%,14%,6%,2%,7%,5%,50%,45%
25–29 Sep 2023,YouGov[214][215],Online,1563,35%,33%,13%,—N/a,—N/a,19%,—N/a,53%,47%
22–24 Sep 2023,Freshwater Strategy[216],Online,1003,37%,33%,13%,—N/a,—N/a,17%,—N/a,51%,49%
18–22 Sep 2023,Newspoll[217][218],Online,1239,36%,36%,11%,6%,—N/a,11%,—N/a,54%,46%
13–17 Sep 2023,Essential[53],Online,1135,32%,31%,13%,8%,2%,8%,6%,49%,45%
4–10 Sep 2023,Roy Morgan[219],—N/a,1382,37%,32%,13.5%,—N/a,—N/a,17.5%,—N/a,52.5%,47.5%
6–9 Sep 2023,Resolve Strategic[220][221],Online,1604,34%,36%,12%,5%,2%,11%,—N/a,55.5%,44.5%
30 Aug – 4 Sep 2023,RedBridge Group[222],Online,1001,36%,37%,13%,—N/a,—N/a,14%,—N/a,54.1%,45.9%
30 Aug – 3 Sep 2023,Essential[53],Online,1151,32%,31%,15%,7%,2%,7%,6%,51%,43%
28 Aug – 3 Sep 2023,Roy Morgan[223],—N/a,1404,37.5%,33.5%,13%,—N/a,—N/a,16%,—N/a,53%,47%
28 Aug– 1 Sep 2023,Newspoll[224],Online,1200,37%,35%,13%,7%,—N/a,8%,—N/a,53%,47%
16–20 Aug 2023,Essential[53][225],Online,1151,33%,33%,14%,5%,3%,7%,6%,51%,43%
10–14 Aug 2023,RedBridge Group[226],Online,1010,32%,38%,10%,—N/a,—N/a,21%,—N/a,55.6%,44.4%
9–13 Aug 2023,Resolve Strategic[227][228],Online,1603,33%,37%,11%,5%,2%,12%,—N/a,56%,44%
2–6 Aug 2023,Essential[53][229],Online,1150,30%,33%,12%,8%,2%,8%,6%,52%,42%
19–23 Jul 2023,Essential[53][230],Online,1150,32%,31%,14%,7%,1%,9%,6%,50%,45%
,,,,,,,,,,,,
15 Jul 2023,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election,LNP is re-elected in the 2023 Fadden by-election
12–15 Jul 2023,Resolve Strategic[231][232],Online,1610,30%,39%,11%,6%,1%,11%,—N/a,59%,41%
12–15 Jul 2023,Newspoll[233][234],Online,1570,34%,36%,12%,7%,—N/a,11%,—N/a,55%,45%
5–9 Jul 2023,Essential[53][235],Online,2248,32%,32%,14%,8%,1%,8%,5%,51%,44%
21–25 Jun 2023,Essential[53],Online,1148,30%,32%,14%,7%,2%,11%,6%,52%,42%
16–24 Jun 2023,Newspoll[236][237],Online,2303,35%,38%,11%,6%,—N/a,10%,—N/a,54%,46%
7–11 Jun 2023,Essential[53],Online,1123,32%,32%,16%,5%,1%,9%,5%,52%,42%
6–11 Jun 2023,Resolve Strategic[238][239],Online,1606,30%,40%,12%,6%,2%,10%,—N/a,60%,40%
31 May – 3 Jun 2023,Newspoll[240][241],Online,1549,34%,38%,12%,6%,—N/a,10%,—N/a,55%,45%
24–28 May 2023,Essential[53],Online,1138,31%,34%,15%,6%,2%,7%,5%,52%,43%
15–17 May 2023,Freshwater Strategy[242][243],Online,1005,37%,34%,12%,—N/a,—N/a,17%,—N/a,52%,48%
10–14 May 2023,Essential[53][244],Online,1080,31%,35%,14%,5%,1%,8%,5%,53%,42%
11–13 May 2023,Newspoll[245][246],Online,1516,34%,38%,11%,7%,—N/a,10%,—N/a,55%,45%
10–13 May 2023,Resolve Strategic[247][248],Online,1610,30%,42%,12%,5%,2%,8%,2%,61%,39%
26–30 Apr 2023,Essential[53][249],Online,1130,32%,33%,14%,5%,2%,8%,5%,53%,41%
19–22 Apr 2023,Newspoll[250][251],Online,1514,33%,38%,11%,7%,—N/a,11%,—N/a,56%,44%
12–16 Apr 2023,Essential[53][252],Online,1136,31%,34%,14%,6%,3%,9%,4%,52%,43%
12–16 Apr 2023,Resolve Strategic[253][254],Online,1609,28%,42%,12%,6%,1%,11%,—N/a,61.5%,38.5%
29 Mar – 2 Apr 2023,Essential[53][255],Online,1133,30%,33%,14%,6%,2%,10%,5%,53%,42%
29 Mar – 1 Apr 2023,Newspoll[256],Online,1500,33%,38%,10%,8%,—N/a,11%,—N/a,55%,45%
,,,,,,,,,,,,
1 Apr 2023,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election,Labor wins the 2023 Aston by-election
15–20 Mar 2023,Essential[53][257],Online,1124,31%,34%,14%,5%,2%,9%,5%,52%,43%
12–16 Mar 2023,Resolve Strategic[258][257],Online,1600,30%,39%,13%,5%,1%,11%,—N/a,60%,40%
1–5 Mar 2023,Essential[53],Online,1141,32%,32%,12%,7%,2%,10%,7%,49%,44%
27 Feb – 5 Mar 2023,Roy Morgan,—N/a,—N/a,33.5%,38%,11.5%,—N/a,—N/a,17%,—N/a,54.5%,45.5%
1–4 Mar 2023,Newspoll[259],Online,1530,35%,37%,10%,7%,—N/a,11%,—N/a,54%,46%
20–26 Feb 2023,Roy Morgan,—N/a,—N/a,34.5%,37%,13.5%,—N/a,—N/a,15%,—N/a,56.5%,43.5%
15–19 Feb 2023,Essential[53],Online,1044,30%,33%,14%,6%,3%,8%,8%,51%,42%
15–19 Feb 2023,Resolve Strategic[260][261],Online,1604,31%,40%,10%,5%,1%,11%,—N/a,58%,42%
13–19 Feb 2023,Roy Morgan,Online/ Telephone,—N/a,33%,37%,13%,—N/a,—N/a,17%,—N/a,58.5%,41.5%
1–6 Feb 2023,Essential[53],Online,1000,30%,33%,17%,6%,1%,15%,5%,55%,40%
1–4 Feb 2023,Newspoll[262][263],Online,1512,34%,38%,11%,6%,1%,10%,—N/a,55%,45%
23–29 Jan 2023,Roy Morgan,—N/a,—N/a,33.5%,37.5%,11.5%,—N/a,—N/a,17.5%,—N/a,57%,43%
18–22 Jan 2023,Essential[53][264],Online,1050,31%,34%,14%,8%,1%,7%,5%,53%,42%
