Date,Firm,Interview mode,Sample,Preferred prime minister,Preferred prime minister,Preferred prime minister,Albanese,Albanese,Albanese,Albanese,Dutton,Dutton,Dutton,Dutton
Date,Firm,Interview mode,Sample,Albanese,Dutton,Don't Know,Satisfied,Dissatisfied,Don't Know,Net,Satisfied,Dissatisfied,Don't Know,Net
15–17 Dec 2023,Freshwater Strategy[189],Online,1109,43%,39%,18%[s],37%,42%,20%,−5%,34%,36%,30%,−2%
11–15 Dec 2023,Newspoll[191],Online,1219,46%,35%,19%,42%,50%,8%,−8%,39%,48%,13%,−9%
1–5 Dec 2023,YouGov[193][194],Online,1555,46%,36%,18%,39%,55%,6%,−16%,39%,48%,13%,−9%
29 Nov – 3 Dec 2023,Resolve Strategic[195],Online,1605,42%,28%,30%,37%,48%,15%,−11%,34%,42%,24%,−8%
22–26 Nov 2023,Essential[318],Online,1151,—N/a,—N/a,—N/a,42%,47%,12%,−5%,39%,42%,19%,−3%
20–24 Nov 2023,Newspoll[199],Online,1216,46%,35%,19%,40%,53%,7%,−13%,37%,50%,13%,−13%
10–14 Nov 2023,YouGov[201][319],Online,1582,48%,34%,18%,43%,50%,7%,−7%,40%,47%,13%,−7%
1–5 Nov 2023,Resolve Strategic[203],Online,1602,40%,27%,33%,39%,46%,15%,−7%,36%,40%,25%,−4%
30 Oct – 3 Nov 2023,Newspoll[204],Online,1220,46%,36%,18%,42%,52%,6%,−10%,37%,50%,13%,−13%
11–14 Oct 2023,Essential[320],Online,1125,—N/a,—N/a,—N/a,46%,43%,11%,+3%,36%,43%,21%,−7%
4–12 Oct 2023,Newspoll[208],Online,2638,51%,31%,18%,46%,46%,8%,0%,35%,53%,12%,−18%
6–10 Oct 2023,YouGov[209][319],Online,1519,50%,34%,16%,45%,48%,7%,−3%,38%,50%,12%,−12%
3–6 Oct 2023,Newspoll[210][211],Online,1225,50%,33%,17%,45%,46%,9%,−1%,37%,50%,13%,−13%
22 Sep – 4 Oct 2023,Resolve Strategic[212][213],Online,1604,47%,25%,28%,43%,43%,14%,0%,30%,45%,25%,−15%
25–29 Sep 2023,YouGov[214][319],Online,1563,50%,33%,17%,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a
22–24 Sep 2023,Freshwater Strategy[216],Online,1003,46%,37%,17%[t],38%,41%,21%,−3%,30%,40%,30%,−10%
18–22 Sep 2023,Newspoll[217][218],Online,1239,50%,30%,20%,47%,44%,9%,+3%,32%,52%,16%,−20%
6–9 Sep 2023,Resolve Strategic[220][221],Online,1604,43%,28%,29%,40%,47%,13%,−7%,35%,43%,22%,−8%
30 Aug – 3 Sep 2023,Essential[321],Online,1151,—N/a,—N/a,—N/a,46%,43%,10%,+3%,38%,43%,19%,−5%
28 Aug – 1 Sep 2023,Newspoll[224],Online,1200,50%,31%,19%,46%,47%,7%,−1%,38%,49%,13%,−11%
9–13 Aug 2023,Resolve Strategic[227][228],Online,1603,46%,25%,29%,44%,42%,14%,+2%,31%,44%,24%,−13%
19–23 Jul 2023,Essential[230][322],Online,1150,—N/a,—N/a,—N/a,48%,41%,11%,+7%,37%,43%,20%,−6%
12–15 Jul 2023,Resolve Strategic[231][232],Online,1610,51%,21%,28%,51%,34%,15%,+17%,31%,47%,23%,−16%
