Date(s) conducted,Polling organisation/client,Sample size,Con,Lab,UKIP,LD,SNP,Grn,Others,Lead
Date(s) conducted,Polling organisation/client,Sample size,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Others,Lead
18–19 Dec,YouGov/The Times,1595,39%,24%,14%,12%,6%[c],4%,1%,15
13–16 Dec,Opinium/Observer,2000,38%,31%,13%,6%,6%,4%,1%,7
9–12 Dec,Ipsos MORI[permanent dead link],1003,40%,29%,9%,14%,4%,3%,1%,11
9–11 Dec,ICM/The Guardian,2049,41%,27%,14%,9%,4%,3%,1%,14
8 Dec,Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold),Sleaford and North Hykeham by-election (Con hold)
4–5 Dec,YouGov/The Times,1667,42%,25%,12%,11%,6%[c],4%,1%,17
1 Dec,Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con),Richmond Park by-election (LD gain from Con)
28–29 Nov,YouGov/The Times,1624,39%,27%,14%,9%,6%[c],4%,1%,12
28 Nov,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP,Paul Nuttall is elected leader of UKIP
25–27 Nov,ICM/The Guardian,2009,44%,28%,12%,7%,4%,4%,2%,16
21–22 Nov,YouGov/The Times,1693,41%,28%,12%,9%,6%[c],4%,0%,13
18–20 Nov,ICM/The Guardian,2031,42%,28%,11%,9%,4%,3%,2%,14
15–18 Nov,Opinium,2005,41%,29%,12%,7%,6%,3%,1%,12
14–15 Nov,YouGov/The Times,1717,42%,28%,11%,8%,7%[c],4%,1%,14
11–14 Nov,Ipsos MORI[permanent dead link],1013,42%,33%,7%,10%,5%[c],3%,1%,9
1–4 Nov,Opinium,2001,40%,32%,13%,6%,6%,4%,–,8
31 Oct – 1 Nov,YouGov/The Times,1608,41%,27%,11%,10%,6%[c],4%,1%,14
28–30 Oct,ICM/The Guardian,2040,43%,27%,12%,8%,4%,5%,1%,16
24–25 Oct,YouGov/The Times,1655,40%,27%,11%,11%,7%[c],3%,1%,13
19–24 Oct,BMG,1546,42%,28%,12%,8%,5%,4%,1%,14
20 Oct,"Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)","Witney by-election (Con hold) and Batley & Spen by-election (Lab hold, unopposed by other major parties)"
19–20 Oct,YouGov/Election Data,1608,42%,26%,12%,8%,6%[c],5%,1%,16
14–17 Oct,Ipsos MORI[permanent dead link],1016,47%,29%,6%,7%,6%[c],4%,1%,18
11–12 Oct,YouGov/The Times,1669,42%,28%,11%,9%,6%[c],3%,0%,14
7–9 Oct,ICM/The Guardian,2017,43%,26%,11%,8%,4%,6%,2%,17
28–29 Sep,YouGov/The Times,1658,39%,30%,13%,8%,6%[c],3%,0%,9
24 Sep,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge,Jeremy Corbyn is re-elected leader of the Labour Party in a leadership challenge
21–23 Sep,ICM/Sun on Sunday,2015,41%,26%,14%,8%,5%,4%,2%,15
20–23 Sep,BMG,2026,39%,28%,13%,8%,5%,5%,2%,11
19–21 Sep,YouGov/The Times,3285,39%,30%,13%,8%,6%[c],3%,1%,9
16 Sep,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP,Diane James is elected leader of UKIP
13–14 Sep,YouGov/The Times,1732,38%,31%,13%,7%,6%,4%,–,7
10–14 Sep,Ipsos MORI/Evening Standard[permanent dead link],1000,40%,34%,9%,6%,4%[c],5%,1%,6
9–11 Sep,ICM/The Guardian,2013,41%,27%,14%,8%,5%,4%,2%,14
4–5 Sep,YouGov/The Times,1616,40%,29%,13%,7%,7%[c],3%,–,11
