Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,TOP[b],OTH,UND,ALP,L/NP
3 May 2025,Election[5],Election[5],Election[5],31.8%,34.6%,12.2%,6.4%,1.9%,13.1%,—,55.2%,44.8%
28 Apr – 2 May 2025,Roy Morgan[6],Online,1368,34.5%,33%,13.5%,6.5%,2%,10.5%,—N/a,53%,47%
28 Apr - 1 May 2025,Ipsos[7],Online,2574,33%,28%,12%,8%,2%,12%,5%,51%,49%
29 Apr – 1 May 2025,Freshwater Strategy[8],Online,2055,37%,33%,12%,8%,—N/a,10%,—N/a,51.5%,48.5%
28 Apr – 1 May 2025,Newspoll[9],Online,1270,34%,33%,13%,8%,—N/a,12%,—N/a,52.5%,47.5%
,,,,,,,,,,,,
24 Apr – 1 May 2025,YouGov[10][11],Online,3003,31.4%,31.1%,14.6%,8.5%,2.5%,11.9%,—N/a,52.2%,47.8%
27–30 Apr 2025,DemosAU[9],Online,4100,33%,31%,12%,9%,—N/a,15%,—N/a,52%,48%
27–29 Apr 2025,DemosAU[12],Online,1974,32%,29%,12%,9%,—N/a,18%,—N/a,51%,49%
24–29 Apr 2025,Redbridge/Accent[13],Online,1011,34%,34%,12%,8%,—N/a,12%,—N/a,53%,47%
24–28 Apr 2025,Spectre Strategy[14][c],Online,2000,34%,31%,14.5%,9.5%,—N/a,11%,—N/a,53%,47%
23–28 Apr 2025,Resolve Strategic[15],Telephone /Online,2010,35%,31%,14%,7%,—N/a,13%,—N/a,53%,47%
24–27 Apr 2025,Essential[16],Online,2163,34%,32%,13%,10%,2%,9%,—N/a,52.1%,47.9%
21–27 Apr 2025,Roy Morgan[17],Online,1524,34.5%,34%,13%,7.5%,1.5%,9.5%,—N/a,53%,47%
,,,,,,,,,,,,
27 Apr 2025,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place,The fourth leaders' debate takes place
21–25 Apr 2025,Newspoll[18],Online,1254,35%,34%,11%,8%,—N/a,12%,—N/a,52%,48%
1–25 Apr 2025,YouGov MRP[19],Online,10822,31.1%,31.4%,12.6%,9.1%,—N/a,15.7%,—N/a,52.9%,47.1%
22–23 Apr 2025,DemosAU[20],Online,1073,31%,29%,14%,9%,3%,14%[d],—N/a,52%,48%
,,,,,,,,,,,,
,,,,,,,,,,,,
17–22 Apr 2025,YouGov[21],Online,1500,31%,33.5%,14%,10.5%,2%,9%,—N/a,53.5%,46.5%
,,,,,,,,,,,,
22 Apr 2025,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins,The third leaders' debate takes place and early voting begins
14–20 Apr 2025,Roy Morgan[22],Online,1605,34%,34.5%,14.5%,6%,0.5%,11%,—N/a,55.5%,44.5%
14–17 Apr 2025,Newspoll[23],Online,1263,35%,34%,12%,7%,—N/a,12%,—N/a,52%,48%
14–16 Apr 2025,Freshwater Strategy[24],Online,1062,39%,32%,12%,—N/a,—N/a,17%,—N/a,50%,50%
,,,,,,,,,,,,
