Date(s) conducted,Pollster,Client,Sample size,Lab,Con,LD,Others,Lead
Date(s) conducted,Pollster,Client,Sample size,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Others,Lead
14–16 Dec,ICM[dead link],The Guardian,1000,44%,29%,20%,7%,15
22–27 Nov,MORI[1],The Times,"1,985[4]",56%,25%,15%,4%,31
22 Nov,Ipswich by-election (Lab hold),Ipswich by-election (Lab hold),Ipswich by-election (Lab hold),Ipswich by-election (Lab hold),Ipswich by-election (Lab hold),Ipswich by-election (Lab hold),Ipswich by-election (Lab hold),Ipswich by-election (Lab hold)
16–18 Nov,ICM[dead link],The Guardian,1004,46%,29%,19%,6%,17
18–22 Oct,MORI[1],The Times,1950,57%,25%,13%,5%,32
19–20 Oct,ICM[dead link],The Guardian,1000,47%,29%,19%,5%,18
20–25 Sep,MORI[1],The Times,1958,53%,27%,15%,5%,26
14–16 Sep,ICM[dead link],The Guardian,1007,46%,29%,20%,5%,17
13 Sep,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party,Iain Duncan Smith is elected leader of the Conservative Party
23–28 Aug,MORI[1],The Times,1840,53%,25%,16%,6%,28
17–19 Aug,ICM[dead link],The Guardian,1004,46%,30%,17%,7%,16
9–14 Aug,MORI[1],GMB,Unknown,53%,23%,19%,5%,30
20 Jul – 5 Aug,ICM[1],BBC Radio 4,Unknown,53%,29%,14%,4%,24
19–23 Jul,MORI[1],The Times,2084,52%,25%,17%,6%,27
13–14 Jul,ICM[dead link],The Guardian,1001,46%,30%,18%,6%,16
21–26 Jun,MORI[1],The Times,1999,49%,25%,19%,6%,24
7 Jun 2001,2001 general election,2001 general election,–,42.0%,32.7%,18.8%,6.5%,9.3
