Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2PP vote[a],2PP vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,TOP[b],OTH,UND,ALP,L/NP
24–27 Apr 2025,Essential[356],Online,1500,27%,30%,21%,6%,1%,8%,7%,54%,39%
9–14 Apr 2025,Essential[356],Online,1500,22%,36%,24%,6%,2%,6%,5%,62%,33%
26–30 Mar 2025,Essential[356],Online,1500,28%,29%,24%,5%,0%,9%,—N/a,56%,39%
18 Mar 2025,Essential[356],Online,1500,31%,30%,20%,3%,1%,7%,—N/a,51%,41%
4 Mar 2025,Essential[356],Online,1500,29%,30%,20%,5%,1%,11%,—N/a,53%,44%
18 Feb 2025,Essential[356],Online,1500,29%,35%,17%,7%,3%,4%,—N/a,53%,42%
4 Feb 2025,Essential[356],Online,1500,30%,31%,19%,7%,1%,7%,—N/a,52%,42%
21 Jan 2025,Essential[356],Online,1500,32%,25%,23%,5%,4%,5%,—N/a,49%,44%
17 Dec 2024,Essential[356],Online,1500,28%,36%,20%,1%,2%,8%,—N/a,54%,41%
3 Dec 2024,Essential[356],Online,1500,32%,35%,14%,4%,2%,7%,—N/a,49%,45%
19 Nov 2024,Essential[356],Online,1500,29%,29%,23%,4%,2%,7%,—N/a,51%,42%
5 Nov 2024,Essential[356],Online,1500,28%,34%,19%,3%,4%,6%,—N/a,55%,39%
21 Mar 2023,Essential[356],Online,1500,22%,30%,29%,3%,5%,,—N/a,61%,34%
7 Mar 2023,Essential[356],Online,1500,26%,34%,22%,4%,3%,,—N/a,55%,38%
21 Feb 2023,Essential[356],Online,1500,20%,31%,30%,6%,1%,5%,—N/a,60%,33%
7 Feb 2023,Essential[356],Online,1500,17%,33%,33%,4%,3%,4%,—N/a,68%,26%
24 Jan 2023,Essential[356],Online,1500,19%,32%,32%,6%,1%,5%,—N/a,65%,30%
13 Dec 2022,Essential[356],Online,1500,25%,36%,24%,2%,4%,4%,—N/a,59%,35%
