Date,Firm,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote,2pp vote
Date,Firm,Sample size,ALP,L/NP,GRN,ONP,UAP,OTH,UND,ALP,L/NP
,,,,,,,,,,,
3 May 2025,Election[5],Election[5],35.6%,31.5%,12.0%,7.6%,0.6%,12.7%,—,55.8%,44.2%
24 Apr – 1 May 2025,YouGov[340],287,32%,35%,15%,12%,—N/a,6%,—N/a,50%,50%
27–30 Apr 2025,DemosAU[340],409,34%,31%,15%,11%,—N/a,9%,—N/a,56%,44%
24–28 Apr 2025,Spectre Strategy/Dynata[14][y],—N/a,36%,32%,17%,7%,—N/a,8%,—N/a,54%,46%
18–22 Apr 2025,YouGov[340],149,40%,28%,12%,11%,—N/a,9%,—N/a,58%,42%
27 Mar – 17 Apr 2025,Newspoll[340],501,36%,34%,11%,9%,—N/a,10%,—N/a,54%,46%
11–15 Apr 2025,YouGov[340],128,37%,27%,12%,14%,—N/a,10%,—N/a,57%,43%
4–10 Apr 2025,YouGov[340],144,39%,29%,8%,11%,—N/a,13%,—N/a,56%,44%
28 Mar – 3 Apr 2025,YouGov[340],166,30%,36%,12%,9%,—N/a,13%,—N/a,49%,51%
14–19 Mar 2025,YouGov[340],111,43%,34%,8%,9%,—N/a,6%,—N/a,54%,46%
17 Jan – 15 Mar 2025,Freshwater Strategy[340],318,33%,35%,15%,—N/a,—N/a,17%,—N/a,52%,48%
7–13 Mar 2025,YouGov[340],155,42.5%,34.5%,8%,9%,—N/a,6%,—N/a,54%,46%
20 Jan – 7 Mar 2025,Newspoll[340],374,37%,34%,11%,9%,—N/a,9%,—N/a,54%,46%
4–5 March 2025,DemosAU[343],1126,36%,38%,11%,6%,—N/a,9%,—N/a,52%,48%
1 Oct – 8 Dec 2024,Resolve Strategic[340],460,30%,37%,12%,5%,—N/a,16%,—N/a,50%,50%
7 Oct – 6 Dec 2024,Newspoll[340],376,38%,37%,11%,5%,—N/a,9%,—N/a,54%,46%
30 Oct – 4 Nov 2024,DemosAU[344],948,34%,38%,14%,6%,—N/a,8%,—N/a,52%,48%
1–10 Oct 2024,Redbridge[345],1514,35%,34%,—N/a,—N/a,—N/a,—N/a,—N/a,54.5%,45.5%
15 Jul – 20 Sep 2024,Newspoll[340],562,36%,39%,11%,4%,—N/a,10%,—N/a,52%,48%
15 Apr – 26 Jun 2024,Newspoll[340],156,34%,37%,11%,5%,—N/a,13%,—N/a,52%,48%
31 Jan – 22 Mar 2024,Newspoll[340],368,34%,39%,8%,6%,—N/a,13%,—N/a,49%,51%
31 Oct – 15 Dec 2023,Newspoll[340],364,37%,37%,11%,5%,—N/a,10%,—N/a,54%,46%
6–13 Dec 2023,RedBridge[346],1203,39%,37%,12%,5%,—N/a,7%,—N/a,55.2%,44.8%
28 Aug – 12 Oct 2023,Newspoll[340],620,38%,38%,10%,6%,—N/a,8%,—N/a,53%,47%
1 Feb – 3 Apr 2023,Newspoll[340],474,40%,33%,11%,6%,—N/a,10%,—N/a,57%,43%
27 Jul – 3 Dec 2022,Newspoll[340],575,39%,34%,9%,7%,—N/a,11%,—N/a,55%,45%
21 Jun 2022,Roy Morgan[286],144,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,—N/a,50.5%,49.5%
21 May 2022,Election,Election,36.8%,34.8%,12.5%,4%,2.3%,9.6%,—N/a,55%,45%
