Date,Brand,Interview mode,Sample size,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,Primary vote,2pp vote[a],2pp vote[a]
Date,Brand,Interview mode,Sample size,L/NP,ALP,GRN,ONP,TOP[b],OTH,UND,ALP,L/NP
24–27 Apr 2025,Essential[356],Online,1500,27%,34%,14%,11%,2%,8%,4%,54%,41%
9–14 Apr 2025,Essential[356],Online,1500,28%,32%,12%,9%,3%,10%,5%,54%,41%
26–30 Mar 2025,Essential[356],Online,1500,29%,32%,10%,12%,4%,6%,7,50%,43%
18 Mar 2025,Essential[356],Online,1500,29%,29%,14%,12%,1%,10%,6,49%,45%
4 Mar 2025,Essential[356],Online,1500,32%,30%,13%,11%,0%,10%,—N/a,50%,46%
18 Feb 2025,Essential[356],Online,1500,30%,28%,14%,12%,0%,11%,—N/a,50%,46%
4 Feb 2025,Essential[356],Online,1500,29%,28%,15%,10%,1%,11%,—N/a,50%,45%
21 Jan 2025,Essential[356],Online,1500,30%,35%,9%,9%,3%,8%,—N/a,52%,43%
17 Dec 2024,Essential[356],Online,1500,28%,29%,18%,9%,1%,11%,—N/a,50%,46%
3 Dec 2024,Essential[356],Online,1500,30%,35%,13%,9%,1%,8%,—N/a,52%,43%
21 Mac 2023,Essential[356],Online,1500,30%,40%,10%,6%,2%,9%,—N/a,54%,43%
7 Mac 2023,Essential[356],Online,1500,27%,32%,12%,10%,3%,9%,—N/a,51%,42%
21 Feb 2023,Essential[356],Online,1500,26%,33%,11%,7%,5%,9%,—N/a,50%,41%
7 Feb 2023,Essential[356],Online,1500,26%,35%,13%,6%,2%,11%,—N/a,56%,36%
